appliance_id,appliance,tag,name,upfront_cost,lifetime,warranty,annual_maintenance_cost,avg_input,max_power,battery_compatible,is_Gas,daily_usage_hours,age_Years
1,boiler,HVAC,Viessmann Vitodens 100-W B1KF 26kW Combi,2472.0,15,12,60-120,14.1,25.0,1,True,,
2,boiler,HVAC,Vaillant ecoTEC Exclusive Green IQ 835,2425.0,15,10,60-120,14.0,43.0,1,True,,
3,boiler,HVAC,Baxi 800 Combi 2 Boiler 36kW,2427.98,15,10,60-120,25.6,36.0,0,True,,
4,boiler,HVAC,Ideal Logic2 C35 35kW Combination Boiler Natural Gas ErP,2205.99,15,2,60-120,24.4,35.0,0,True,,
5,boiler,HVAC,tepeo Zero Emission Boiler,8000.0,15,10,120-149,9.0,15.0,0,False,,
6,electric_radiator,HVAC,Ecostrad iQ Ceramic WiFi Controlled Electric Radiators,299.99,15,5,0,1.25,2.0,1,False,,
7,electric_radiator,HVAC,Haverland Designer RC Wave Electric Radiators,249.99,20,20,0,0.975,1.7,0,False,,
8,electric_radiator,HVAC,Ecostrad Allora iQ WiFi Designer Electric Radiator,269.99,15,10,0,0.75,1.2,1,False,,
9,cooler_freezer,HVAC,Tefcold SFI185B-CF VS,2399.77,12-20,2,150-350,0.71,0.89,1,False,,
10,cooler_freezer,HVAC,Arcaboa 900CHVWH Sliding Lid Island Freezer,1250.0,12-20,2,150-350,0.33,0.41,1,False,,
11,cooler_freezer,HVAC,Crystal CRYSTALLITE20 Crystallite Island Display Freezer,1655.99,12-20,1,150-350,0.33,0.407,0,False,,
12,oven,cooking,Blue Seal E31D4 Electric Convection Oven Turbofan 95 Litre Digital - CE088,1478.99,16,2,75-130,4.86,16.2,1,False,,
13,oven,cooking,Falcon Dominator Plus E3101 OTC 3HP Electric 3 Plate Oven Range - Three Phase,4339.19,16,1,75-130,0.9,3.0,1,False,,
14,oven,cooking,Blue Seal Turbofan E931M 128.6 Ltr Electric Convection Oven And 4 Element Cooktop - GK609,2795.99,16,0,75-130,2.1,7.0,1,False,,
15,microwave,cooking,Samsung CM1919 Microwave Manual Dial Heavy Duty - 1850watt 26Ltr,656.39,8,3,60-100,0.56,1.85,1,False,,
16,microwave,cooking,Panasonic NE-1853 1800 Watt Commercial Microwave Oven,595.41,8,2,60-100,0.54,1.8,1,False,,
17,microwave,cooking,Contender Commercial 1800W Microwave Oven,649.99,8,1,60-100,0.54,1.8,1,False,,
18,vrf_system,HVAC,Fujitsu Wall Mounted VRF Indoor Units ASYA30-34GTEH,1001.0,20-25,7,260-720,10.0,11.2,1,False,,
19,vrf_system,HVAC,Mitsubishi electric SFZ-M R32 Floor Mounted System,1202.0,20-25,3-5,260-720,4.8,7.1,1,False,,
20,split_system,HVAC,electriQ Iqool Multi-Split 4 x 12000 BTU Smart Wall Mounted Heat Pump Air Conditioner Bundle,1699.98,15-20,2+3,70-240,6.6,8.2,1,False,,
21,split_system,HVAC,Fujitsu ASYG18KMTE 5.2kW Standard High Wall Split System,1048.8,15-20,3,70-240,4.2,5.2,1,False,,
